date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:53:52	55571/55571	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/iza-01-mo-naco-branco.webp?v=1687983289	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/iza-01-mo-naco-branco157d.jpg	(from https://sunsecrets.no/products/monaco-hvit)
14:53:52	55571/55571	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/iza-01-mo-naco-branco_1024x1024.webp?v=1687983289	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/iza-01-mo-naco-branco_1024x1024157d.jpg	(from https://sunsecrets.no/products/monaco-hvit)
14:53:53	843/843	UR-MCZ	200	added ('OK')	application/json+oembed	etag:%22cacheable:5472244371de13c65480ff0098b9f286%22	https://sunsecrets.no/products/monaco-hvit.oembed	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/products/monaco-hvit.oembed	(from https://sunsecrets.no/products/monaco-hvit)
14:53:54	46495/46495	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/iza-02-mo-naco-branco.webp?v=1687983289	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/iza-02-mo-naco-branco157d.jpg	(from https://sunsecrets.no/products/monaco-hvit)
14:53:54	46495/46495	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/iza-02-mo-naco-branco_1024x1024.webp?v=1687983289	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/iza-02-mo-naco-branco_1024x1024157d.jpg	(from https://sunsecrets.no/products/monaco-hvit)
14:53:54	64973/64973	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/mi-01-mo-naco-branco.webp?v=1687983289	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/mi-01-mo-naco-branco157d.jpg	(from https://sunsecrets.no/products/monaco-hvit)
14:53:57	64973/64973	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/mi-01-mo-naco-branco_1024x1024.webp?v=1687983289	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/mi-01-mo-naco-branco_1024x1024157d.jpg	(from https://sunsecrets.no/products/monaco-hvit)
14:53:57	79538/79538	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/mi-02-mo-naco-branco.webp?v=1687983289	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/mi-02-mo-naco-branco157d.jpg	(from https://sunsecrets.no/products/monaco-hvit)
14:53:57	79538/79538	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/mi-02-mo-naco-branco_1024x1024.webp?v=1687983289	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/mi-02-mo-naco-branco_1024x1024157d.jpg	(from https://sunsecrets.no/products/monaco-hvit)
14:53:59	50215/50215	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/valeria-02-mo-naco-branco.webp?v=1687983289	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/valeria-02-mo-naco-branco157d.jpg	(from https://sunsecrets.no/products/monaco-hvit)
14:53:59	50215/50215	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/valeria-02-mo-naco-branco_1024x1024.webp?v=1687983289	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/valeria-02-mo-naco-branco_1024x1024157d.jpg	(from https://sunsecrets.no/products/monaco-hvit)
14:54:01	71873/71873	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/val-01-monaco-azul.webp?v=1687873105	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/val-01-monaco-azulf89a.jpg	(from https://sunsecrets.no/products/bikini-monaco-marinebla)
14:54:02	58226/58226	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/val-02-monaco-azul.webp?v=1687873105	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/val-02-monaco-azulf89a.jpg	(from https://sunsecrets.no/products/bikini-monaco-marinebla)
14:54:02	2400/2400	UR-MCZ	200	added ('OK')	application/json+oembed	etag:%22cacheable:998567d203a85c98e6f323a9db57e412%22	https://sunsecrets.no/products/bikini-monaco-marinebla.oembed	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/products/bikini-monaco-marinebla.oembed	(from https://sunsecrets.no/products/bikini-monaco-marinebla)
14:54:03	102993/-1	---M--	200	added ('OK')	text/html	etag:W/%22cacheable:74dc5fb149b6998411f5202d1103e067%22	https://sunsecrets.no/collections/rainbow-collection/products/rainbow-bikini-white	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/collections/rainbow-collection/products/rainbow-bikini-white.html	(from https://sunsecrets.no/)
14:54:03	71873/71873	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/val-01-monaco-azul_1024x1024.webp?v=1687873105	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/val-01-monaco-azul_1024x1024f89a.jpg	(from https://sunsecrets.no/products/bikini-monaco-marinebla)
14:54:03	0/-1	---M--	302	error ('')			https://sunsecrets.no/checkout	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/checkout.44f.delayed	(from https://sunsecrets.no/collections/rainbow-collection/products/rainbow-bikini-white)
14:54:04	62012/62012	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/helena-01.webp?v=1687983207	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/helena-019966.jpg	(from https://sunsecrets.no/products/monaco-bikini-striper)
14:54:04	58757/58757	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/helena-02.webp?v=1687983207	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/helena-029966.jpg	(from https://sunsecrets.no/products/monaco-bikini-striper)
14:54:04	58757/58757	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/helena-02_1024x1024.webp?v=1687983207	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/helena-02_1024x10249966.jpg	(from https://sunsecrets.no/products/monaco-bikini-striper)
14:54:04	857/857	UR-MCZ	200	added ('OK')	application/json+oembed	etag:%22cacheable:126a2c07586739987fd14cf5cd97e741%22	https://sunsecrets.no/products/monaco-bikini-striper.oembed	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/products/monaco-bikini-striper.oembed	(from https://sunsecrets.no/products/monaco-bikini-striper)
14:54:05	0/-1	---M--	302	error ('')			https://sunsecrets.no/checkouts/cn/c1-feb31c75a8ef91ec940c0144bf4812a8	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/checkouts/cn/c1-feb31c75a8ef91ec940c0144bf4812a8.450.delayed	(from https://sunsecrets.no/collections/rainbow-collection/products/rainbow-bikini-white)
14:54:06	63298/63298	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/val-02_cfab6a00-fb66-49cf-af84-520d50a5cdab.webp?v=1687983207	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/val-02_cfab6a00-fb66-49cf-af84-520d50a5cdab9966.jpg	(from https://sunsecrets.no/products/monaco-bikini-striper)
14:54:07	63298/63298	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/val-02_cfab6a00-fb66-49cf-af84-520d50a5cdab_1024x1024.webp?v=1687983207	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/val-02_cfab6a00-fb66-49cf-af84-520d50a5cdab_1024x10249966.jpg	(from https://sunsecrets.no/products/monaco-bikini-striper)
14:54:07	57256/57256	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/helena-03.webp?v=1687983207	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/helena-039966.jpg	(from https://sunsecrets.no/products/monaco-bikini-striper)
14:54:07	57256/57256	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/helena-03_1024x1024.webp?v=1687983207	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/helena-03_1024x10249966.jpg	(from https://sunsecrets.no/products/monaco-bikini-striper)
